City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Rocha,UY,-34.4833,-54.3333,64.26,56,24,11.7,few clouds
72,Bluff,NZ,-46.6,168.3333,39.97,77,89,26.8,overcast clouds
73,Sobolevo,RU,54.4299,31.8996,42.8,95,100,10.27,overcast clouds
74,Waddan,LY,29.1614,16.139,78.12,37,0,9.26,clear sky
75,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,75,13.8,broken clouds
76,Tasiilaq,GL,65.6145,-37.6368,41.16,67,89,7.2,overcast clouds
77,Namibe,AO,-15.1961,12.1522,66.76,87,70,8.5,broken clouds
78,Torrevieja,ES,37.9787,-0.6822,75.72,79,99,3.0,overcast clouds
79,Mataura,NZ,-46.1927,168.8643,34.14,98,100,5.19,snow
80,Hobart,AU,-42.8794,147.3294,41.05,89,40,6.91,scattered clouds
81,Honiara,SB,-9.4333,159.95,76.3,84,100,6.71,overcast clouds
82,Punta Arenas,CL,-53.15,-70.9167,55.51,50,0,24.16,clear sky
83,Rio Grande,BR,-32.035,-52.0986,68.11,65,51,9.78,broken clouds
84,Ingham,US,42.6,-84.3833,72.16,32,0,3.44,clear sky
85,Mar Del Plata,AR,-38.0023,-57.5575,60.82,65,75,17.27,broken clouds
86,Banjar,ID,-8.19,114.9675,76.44,90,63,6.02,broken clouds
87,Hambantota,LK,6.1241,81.1185,79.43,79,100,16.82,overcast clouds
88,Altos,BR,-5.0381,-42.46,95.31,16,5,3.24,clear sky
89,Praya,CV,14.9215,-23.5087,81.14,78,75,6.91,broken clouds
90,Mitchell,US,43.7094,-98.0298,66.18,73,20,6.91,few clouds
91,Cochrane,CA,51.1834,-114.4687,72.61,41,0,9.22,clear sky
92,El Cope,PA,8.6167,-80.6,82.35,57,99,5.01,overcast clouds
93,Port Elizabeth,ZA,-33.918,25.5701,59.09,83,0,2.3,clear sky
94,Zhangye,CN,38.9342,100.4517,54.05,39,99,5.59,overcast clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,84,5.99,broken clouds
96,Mahebourg,MU,-20.4081,57.7,72.25,78,40,11.5,scattered clouds
97,Los Llanos De Aridane,ES,28.6585,-17.9182,79.12,50,86,8.05,overcast clouds
98,Rio Novo Do Sul,BR,-20.8625,-40.9364,73.99,90,100,4.45,overcast clouds
99,The Valley,AI,18.217,-63.0578,87.1,78,75,16.11,broken clouds
100,Aswan,EG,24.0934,32.907,92.21,17,0,7.4,clear sky
101,Kutum,SD,14.2,24.6667,85.06,18,72,10.87,broken clouds
102,Leh,IN,34.1667,77.5833,48.18,34,3,4.23,clear sky
103,Byron Bay,AU,-28.65,153.6167,55.94,79,100,1.86,overcast clouds
104,Brigantine,US,39.4101,-74.3646,59.02,97,100,14.97,light rain
105,Kieta,PG,-6.2167,155.6333,78.39,87,97,5.1,light rain
106,Gerash,IR,27.6652,54.1371,80.74,29,3,5.03,clear sky
107,Westport,US,41.1415,-73.3579,55.78,92,100,20.71,overcast clouds
108,Itoman,JP,26.1247,127.6694,80.62,86,0,4.61,clear sky
109,Adrar,MR,20.5022,-10.0711,102.76,13,13,11.54,few clouds
110,Vilyuysk,RU,63.7553,121.6247,22.44,90,51,4.85,broken clouds
111,Mount Gambier,AU,-37.8333,140.7667,49.64,80,100,11.61,overcast clouds
112,Antofagasta,CL,-23.65,-70.4,61.88,65,14,9.42,few clouds
113,Dukat,RU,62.55,155.55,13.06,96,100,13.11,snow
114,Orange Cove,US,36.6244,-119.3137,86.61,41,0,5.75,clear sky
115,Fortuna,US,40.5982,-124.1573,58.66,67,87,5.35,overcast clouds
116,Muisne,EC,0.6,-80.0333,78.67,74,94,14.03,overcast clouds
117,Port Alfred,ZA,-33.5906,26.891,59.18,83,14,9.15,few clouds
118,Garden City,US,42.3256,-83.331,72.77,33,20,4.61,few clouds
119,Thompson,CA,55.7435,-97.8558,57.36,44,75,5.75,broken clouds
120,Atuona,PF,-9.8,-139.0333,76.71,72,17,23.67,few clouds
121,Talara,PE,-4.5772,-81.2719,74.16,60,0,17.27,clear sky
122,Saint-Joseph,RE,-21.3667,55.6167,70.18,80,58,10.87,broken clouds
123,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,50,11.7,scattered clouds
124,Aguas Formosas,BR,-17.0822,-40.9358,95.94,27,44,7.23,scattered clouds
125,Hilo,US,19.7297,-155.09,84.27,75,75,5.75,broken clouds
126,Tatui,BR,-23.3556,-47.8569,74.35,61,82,8.48,broken clouds
127,Meulaboh,ID,4.1363,96.1285,73.74,97,100,4.25,light rain
128,Kavieng,PG,-2.5744,150.7967,82.2,79,51,16.13,light rain
129,Aklavik,CA,68.2191,-135.0107,27.39,92,7,13.49,clear sky
130,Ponta Do Sol,PT,32.6667,-17.1,78.71,74,26,4.83,scattered clouds
131,Sukumo,JP,32.9333,132.7333,73.33,95,76,7.34,broken clouds
132,Nagahama,JP,35.3833,136.2667,70.99,100,100,8.05,overcast clouds
